Symbol,Name,Market Cap,P/E Ratio,Revenue,Average Vol. (3m),EPS,Beta,YTD,1 Year,3 Years,Weekly,Monthly
MSFT,Microsoft,1.0,30.14,122210000000.0,23690000.0,4.48,1.3739463524799123,35.910181200350124,31.96,168.48,3.0,3.0
CSCO,Cisco,240920000000.0,20.47,51320000000.0,20060000.0,2.74,1.2595570381831973,34.366062908552664,28.37,94.97,3.0,4.0
MPWR,Monolithic,5570000000.0,53.67,594590000.0,295460.0,2.43,1.6133881245479231,12.435370230690236,-9.41,87.19,4.0,4.0
TXN,Texas Instruments,104690000000.0,20.16,15590000000.0,4850000.0,5.51,1.3336379338307893,20.975973783656276,-2.9,78.89,4.0,4.0
INTU,Intuit,67459999999.999985,41.34,6780000000.0,1470000.0,6.25,1.2237690228666391,36.021901326965676,21.67,142.0,2.0,2.0
AAPL,Apple,912440000000.0,17.01,258490000000.0,29290000.0,11.67,1.2749793980396578,27.479941026021628,6.42,108.71,4.0,4.0
INTC,Intel,213240000000.0,10.86,70840000000.0,23770000.0,4.36,1.330235300770737,1.8110998898235309,-11.75,46.66,4.0,4.0
AMAT,Applied Materials,39710000000.0,11.86,15770000000.0,9230000.0,3.57,1.6647460855627472,33.33276047888116,-12.91,79.05,4.0,4.0
ADI,Analog Devices,40700000000.0,26.19,6240000000.0,2780000.0,4.2,1.257403411938052,32.54443440936865,8.73,93.38,3.0,3.0
CCMP,Cabot,3100000000.0,26.79,794340000.0,246130.0,3.99,1.4357097274437225,17.0297792847504,-4.24,145.37,4.0,4.0
JKHY,Jack Henry&Associates,10590000000.0,37.55,1580000000.0,385560.0,3.66,0.8042293405486572,10.217148869220516,4.39,63.66,4.0,4.0
CGNX,Cognex,7760000000.0,35.0,810250000.0,1190000.0,1.28,1.689398502722164,21.813712649702268,-0.22,112.11,4.0,4.0
MXIM,Maxim,15870000000.0,24.02,2390000000.0,1670000.0,2.4,1.2769174081296975,16.718879289777977,-4.37,56.74,4.0,4.0
MCHP,Microchip,20210000000.0,57.65,5350000000.0,2810000.0,1.47,1.4383311223541362,20.00168601464758,-16.35,63.25,4.0,4.0
MKSI,MKS Instruments,4040000000.0,13.52,1980000000.0,573030.0,5.47,1.671799938613107,18.46884112553928,-28.76,79.05,4.0,4.0
NTAP,NetApp,15230000000.0,13.52,6150000000.0,2630000.0,4.54,1.4693370140415003,6.315835590935692,-21.29,143.07,4.0,4.0
TER,Teradyne,7930000000.0,20.14,2110000000.0,2160000.0,2.27,1.4896627279074734,47.86684301703708,16.81,134.7,4.0,4.0
CTXS,Citrix Systems,12930000000.0,27.43,3000000000.0,1960000.0,3.56,0.8979337452279985,-2.317206993091092,-9.68,15.27,4.0,4.0
CDW,CDW Corp,15340000000.0,23.78,16590000000.0,684910.0,4.38,1.0398076168348513,34.17538518555476,24.58,155.31,3.0,4.0
NVDA,NVIDIA,93230000000.0,32.63,10730000000.0,12290000.0,4.69,1.9785567956553913,15.681567325125311,-41.81,220.94,3.0,3.0
SSNC,SS&Cs,14720000000.0,117.98,4140000000.0,1360000.0,0.49,1.1874720422825045,30.434097159721183,6.49,98.06,4.0,4.0
XLNX,Xilinx,28290000000.0,32.81,3060000000.0,4360000.0,3.41,1.4167369177026277,35.62728764413836,61.67,138.65,1.0,1.0
BRKR,Bruker,7410000000.0,40.46,1930000000.0,811410.0,1.17,1.1985985679683397,63.71169849286762,55.53,93.23,3.0,3.0
AVGO,Broadcom,110290000000.0,33.95,21310000000.0,2790000.0,8.19,1.2704641074315695,10.721518249981266,4.99,74.77,1.0,2.0
CY,Cypress,8119999999.999998,22.5,2440000000.0,8060000.000000001,0.99,1.5500225798308567,76.60959045854436,26.91,118.17,3.0,4.0
OTEX,Open Text,11100000000.0,40.51,2880000000.0,499120.0,1.02,0.8763473869267464,28.586478398188685,13.71,35.62,4.0,4.0
KLIC,Kulicke&Soffa,1430000000.0,14.58,726770000.0,384210.0,1.48,1.4252352012432588,11.063502227550703,-6.73,79.98,4.0,4.0
LOGI,Logitech,6350000000.0,24.81,2790000000.0,199130.0,1.53,1.2303602052819664,26.598457815979913,-14.0,134.21,4.0,4.0
MANT,ManTech,2570000000.0,30.85,1990000000.0,125000.0,2.08,1.0649487236014397,24.875808667414102,18.13,77.52,3.0,4.0
GRMN,Garmin,15320000000.0,21.8,3400000000.0,1070000.0,3.71,0.8936799417635662,30.83713319606256,31.53,90.05,3.0,4.0
NATI,National Instruments,5290000000.0,35.66,1360000000.0,518160.0,1.12,1.0119869256157028,-10.095289604117152,-8.1,43.1,4.0,4.0
STX,Seagate,12590000000.0,7.36,10850000000.0,3080000.0,6.19,1.5089524889227062,23.027979842337132,-21.52,94.54,3.0,4.0
OLED,Universal Display,8680000000.0,105.25,335180000.0,732430.0,1.75,1.9168355755985527,98.90703467949685,109.15,164.87,3.0,3.0
QCOM,Qualcomm,86800000000.0,39.71,21230000000.0,21120000.0,1.81,1.1575744735818778,30.483966228354475,20.79,31.77,3.0,4.0
PRGS,Progress,1840000000.0,31.78,392660000.0,461370.0,1.31,1.0993582574756464,20.409671507938263,6.57,58.47,4.0,4.0
ESLT,Elbit Systems,6770000000.0,32.17,4710000000.0,12680.0,4.85,0.708286873125532,40.836914327920184,30.99,70.87,4.0,4.0
UBNT,Ubiquiti,9220000000.0,29.86,1140000000.0,449380.0,4.44,1.2308195209143908,36.72961679490445,51.18,225.04,2.0,2.0
TTEC,TTEC,2070000000.0,41.87,1530000000.0,84980.0,1.08,0.9623088334710309,59.99475435334132,20.81,63.46,4.0,4.0
